node,Proportional,Uniform
1050,189.3170,313.4740
1051,482.4789,629.6944
1052,897.7398,1369.1262
1053,437.5143,692.6266
1054,301.9153,564.6390
1055,670.9888,943.6942
1056,542.2690,927.2500
1057,187.7089,377.0066
1058,221.3133,455.5072
1059,696.0411,1096.6608
1060,362.7893,612.2134
1061,631.1096,1007.3863
1062,1067.1333,1352.2177
1063,872.1195,1195.6863
1064,419.8374,784.1641
1065,634.1805,944.2753
1066,261.7195,502.4790
1067,360.2071,643.4030
1068,944.3319,1692.8745
1069,859.7559,1445.4787
1070,728.7144,1148.4842
1071,1295.6494,1839.5706
1072,430.8619,816.1245
1073,974.3041,1648.5432
1074,5340.8275,3563.8750
1075,3255.9338,3963.1502
1076,8533.4298,5604.7760
1077,1856.0062,2134.6512
1078,1771.0875,1932.3967
1079,1672.3249,1996.1180
1080,1993.0244,2465.6612
1081,3264.6950,4506.9907
1082,2628.0287,3112.4043
1083,6190.9631,4866.8166
1084,1894.0462,2295.2777
1085,1658.7072,2808.8338
1086,3600.2769,2887.0047
1087,711.6216,849.1671
1088,1298.4058,1571.4845
1089,2368.0929,2925.8626
1090,1148.1373,1447.1132
1091,531.4310,754.0581
1092,532.3566,643.5873
1093,2927.5618,4011.9608
1094,2392.9118,3223.8410
1095,646.9976,754.6834
1096,654.4994,1146.0185
1097,1410.1728,1665.2518
1098,340.8070,518.5770
1099,1395.0056,1761.2128
1100,763.1564,1146.8956
1101,914.0124,1162.0034
1102,1891.2142,2124.5053
1103,1029.4890,1227.2374
1104,2058.9786,2908.1392
1105,890.9253,1038.7211
1106,1013.0699,1242.8423
1107,762.8048,1052.3518
1108,1155.0705,1472.0541
