node,Proportional,Uniform
170,1105.9700,892.1984
171,1013.3721,847.5461
172,1804.1477,1407.5584
173,1104.0774,910.0754
174,3290.5408,2755.3690
175,552.6033,437.1528
176,1767.2637,1401.7144
177,1249.2265,1013.4312
178,2863.5857,2414.9637
179,3415.9260,2810.4772
180,2556.9764,2068.5991
181,1160.1153,960.8266
182,1158.7559,950.6983
183,911.7489,722.3084
184,1323.5258,1093.3217
185,2527.3401,2002.0449
186,488.2828,380.8339
187,1011.6228,836.9453
188,2337.3168,1915.4906
189,2431.5472,1939.4838
190,4096.0512,3422.1072
191,1234.1388,1019.9842
192,832.5638,651.6569
193,538.3190,438.4324
194,3196.4395,2618.1908
195,2943.7763,2418.3727
196,2515.0621,1984.8006
197,1201.0588,951.5822
198,271.8036,216.9340
199,2345.7775,1914.1188
200,891.3554,702.5779
201,1791.6493,1435.4875
202,4515.0624,3659.5533
203,2338.6022,1928.0492
204,1699.0107,1359.3141
205,1260.1727,1020.7194
206,662.2644,518.2731
207,5564.9602,4311.4308
208,1467.5701,1200.1455
209,3930.5280,2977.6334
210,1236.7146,964.8767
211,1852.5281,1407.0637
212,1435.6274,1174.4479
213,1831.1461,1433.7830
214,1006.8018,820.0914
215,1510.3674,1191.7836
216,1065.4191,860.8080
217,479.6088,581.1058
218,319.5292,381.5499
219,205.5609,239.6172
220,297.5706,368.8551
221,533.5084,651.1426
222,317.0967,397.9680
223,822.8813,987.3548
224,646.7697,811.5334
225,307.7688,383.3024
226,588.4700,742.3138
227,586.3697,723.2476
228,351.7304,444.5379
229,511.5238,620.2712
230,609.4456,771.1993
231,178.3005,211.0205
232,677.4757,834.7450
233,391.4823,500.9641
234,435.9962,559.4947
235,156.5783,182.2656
236,689.9446,832.7376
237,665.2660,840.5150
238,387.1856,463.9628
239,555.9777,696.0262
240,855.4891,1062.7159
241,341.8018,417.4427
242,172.3151,195.7172
243,616.1685,772.8404
244,210.7850,259.7157
245,211.9945,252.6386
246,275.2295,322.1267
247,495.5308,609.0508
248,220.3854,251.4427
249,218.0460,269.9194
250,516.4141,565.3922
251,102.3608,127.6885
252,530.3483,654.8982
253,476.0629,577.1114
254,486.8351,590.3596
